amfi_code,scheme_name,latest_nav,projected_nav_p05_5yr,projected_nav_p50_5yr,projected_nav_p95_5yr,simulations,horizon_trading_days
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,205.451,254.58107378136975,417.6133361600862,688.866737054463,1000,1260
120842,Kotak Emerging Equity Fund - Regular - Growth,82.6457,58.09515965494529,104.69978412020107,181.98210471853287,1000,1260
118634,Nippon India Small Cap Fund - Regular - Growth,134.6683,106.90500390766746,233.72962532776702,522.6857005760584,1000,1260
149322,DSP Top 100 Equity Fund - Regular - Growth,606.2349,612.797560808506,944.5823710981008,1449.3431781154022,1000,1260
102886,UTI Mid Cap Fund - Regular - Growth,125.564,71.64590452065067,131.27643545023128,225.43771691349022,1000,1260
